Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2024-01-17,385.0986633300781,389.4700012207031,390.1099853515625,384.80999755859375,387.9800109863281,22234100
2024-01-18,389.44921875,393.8699951171875,393.989990234375,390.1199951171875,391.7200012207031,23392100
2024-01-19,394.1954040527344,398.6700134277344,398.6700134277344,393.5,395.760009765625,29331100
2024-01-22,392.0596618652344,396.510009765625,400.6199951171875,393.5899963378906,400.0199890136719,27016900
2024-01-23,394.4227600097656,398.8999938964844,399.3800048828125,393.92999267578125,395.75,20525900
2024-01-24,398.0417175292969,402.55999755859375,405.6300048828125,400.45001220703125,401.5400085449219,24867000
2024-01-25,400.3257751464844,404.8699951171875,407.010009765625,402.5299987792969,404.32000732421875,21021200
2024-01-26,399.39630126953125,403.92999267578125,406.1700134277344,402.42999267578125,404.3699951171875,17803300
2024-01-29,405.1213684082031,409.7200012207031,409.9800109863281,404.3299865722656,406.05999755859375,24510200
2024-01-30,404.0040283203125,408.5899963378906,413.04998779296875,406.45001220703125,412.260009765625,33477600
2024-01-31,393.11761474609375,397.5799865722656,415.32000732421875,397.2099914550781,406.9599914550781,47871100
2024-02-01,399.2480163574219,403.7799987792969,408.0,401.79998779296875,401.8299865722656,30657700
2024-02-02,406.60455322265625,411.2200012207031,412.6499938964844,403.55999755859375,403.80999755859375,28256700
2024-02-05,401.0970153808594,405.6499938964844,411.1600036621094,403.989990234375,409.8999938964844,25352300
2024-02-06,400.9388122558594,405.489990234375,407.9700012207031,402.9100036621094,405.8800048828125,18382600
2024-02-07,409.40277099609375,414.04998779296875,414.29998779296875,407.3999938964844,407.44000244140625,22340500
2024-02-08,409.4620666503906,414.1099853515625,415.55999755859375,412.5299987792969,414.04998779296875,21225300
2024-02-09,415.82977294921875,420.54998779296875,420.82000732421875,415.0899963378906,415.25,22032800
2024-02-12,410.5992126464844,415.260009765625,420.739990234375,414.75,420.55999755859375,21202900
2024-02-13,401.759521484375,406.32000732421875,410.07000732421875,403.3900146484375,404.94000244140625,27824900
2024-02-14,405.6426696777344,409.489990234375,409.8399963378906,404.57000732421875,408.07000732421875,20401200
2024-02-15,402.7402038574219,406.55999755859375,409.1300048828125,404.2900085449219,408.1400146484375,21825500
2024-02-16,400.26373291015625,404.05999755859375,408.2900085449219,403.44000244140625,407.9599914550781,22296500
2024-02-20,399.005615234375,402.7900085449219,404.489990234375,398.010009765625,403.239990234375,24307900
2024-02-21,398.4013366699219,402.17999267578125,402.2900085449219,397.2200012207031,400.1700134277344,18518900
2024-02-22,407.7823791503906,411.6499938964844,412.8299865722656,408.57000732421875,410.19000244140625,27009900
